2025-08-27 12:00,J to NU bandcamp,2025-08-25 20:00,tbd
2025-09-02 8:00,Big Switch Day; J moves into dorm,20:00,tbd
2025-09-09 8:00,NU orientation,20:00,
2025-09-10 8:00,NU orientation,20:00,
2025-09-16 9:00,NU classes begin,10:00,
2025-11-24 18:00,NU Thanksgiving break starts,19:00,
2025-11-24,JBC: Thanksgiving break,2025-12-01,
2025-12-01 9:00,NU classes resume,10:00,
2025-12-13 20:00,NU exams end,21:00,
2025-12-13,JBC: semester break,2026-01-05,
2026-01-05 9:00,NU classes begin,10:00,
2026-03-21 20:00,NU exams end,21:00,
2026-03-21,JBC: semester break,2026-03-31,
2026-03-31 9:00,NU classes begin,10:00,
2026-06-12 20:00,NU exams end,21:00,